AChBP,Ca22,α3β4,Na12,α3β2,α7,α9α10,α4β2
4.0500284194946286,8.961250495910647,7.881791877746582,7.777868843078614,4.531284141540527,5.9741418838500975,7.891204261779785,4.679008674621582
8.534792137145995,9.125451469421389,4.0500284194946286,7.7731527328491214,6.709013175964355,4.370202445983887,4.0500284194946286,6.880553245544434
8.533631706237792,8.960734748840334,4.0500284194946286,8.351637458801271,5.239100074768066,6.706341743469238,6.709808921813964,6.803706932067871
4.679008674621582,8.333586311340333,8.975691413879396,8.351766395568852,7.888689994812011,6.706341743469238,5.498626899719238,7.687496376037598
5.808967781066895,7.807008552551269,8.549813270568851,7.789859962463378,9.30473804473877,5.9741418838500975,5.9751081466674805,6.454601860046386
5.239100074768066,7.040611839294433,4.0500284194946286,9.152528190612792,4.0500284194946286,6.714128684997559,7.884435081481934,8.504620933532717
4.0500284194946286,6.697702217102051,4.531284141540527,8.34428806304932,7.895330238342285,7.884177207946777,8.51931972503662,4.136878395080566
4.0500284194946286,5.758381080627441,7.884241676330566,8.361049842834475,7.870961189270019,8.976078224182132,7.884241676330566,5.924635124206542
4.0500284194946286,8.961250495910647,7.888432121276855,7.7731527328491214,4.3530370712280275,4.0500284194946286,8.568315696716308,4.413684272766114
4.0500284194946286,8.960219001770021,5.934127235412597,8.94042720794678,5.974823951721191,5.974823951721191,7.895136833190918,7.871025657653808
5.239100074768066,8.940040397644044,4.370202445983887,8.702796745300294,5.9657865524292,7.895072364807128,4.3530370712280275,8.501655387878419
5.498626899719238,9.00779666900635,6.713332939147949,8.353507041931152,4.207756614685059,5.808967781066895,7.877730369567872,8.503267097473145
5.933502006530762,8.703376960754394,6.11567096710205,6.698668479919434,4.41328639984131,7.8883676528930655,4.370202445983887,6.717482185363769
7.891268730163573,8.6886137008667,6.709808921813964,8.342611885070802,8.54968433380127,4.0500284194946286,8.489406394958497,4.0500284194946286
4.41328639984131,8.688742637634277,7.88192081451416,7.785605049133301,8.53330936431885,5.974823951721191,4.207756614685059,6.395375633239747
8.94435977935791,9.102049446105958,7.884177207946777,8.351766395568852,8.533438301086427,5.498626899719238,5.809593009948731,4.3530370712280275
9.305253791809083,7.780769920349122,8.517965888977052,5.961125755310059,4.370202445983887,5.075687980651854,4.0500284194946286,4.0500284194946286
5.498626899719238,8.886660575866703,4.13028507232666,5.962319374084472,7.90197048187256,6.7055459976196286,7.90197048187256,7.884821891784668
6.706341743469238,8.342676353454593,5.319470405578613,5.962319374084472,4.0500284194946286,4.0500284194946286,8.549490928649902,7.931239128112794
5.239043235778809,8.353442573547365,5.808967781066895,7.785153770446778,6.7055459976196286,6.708217430114746,4.0500284194946286,8.541754722595215
4.531284141540527,8.703376960754394,8.54968433380127,8.353507041931152,6.709013175964355,5.809593009948731,5.498001670837401,5.075687980651854
4.3166601181030275,6.966209602355956,7.884306144714356,5.797315788269043,4.0500284194946286,7.884306144714356,8.534921073913573,5.324699592590332
6.042405509948731,6.7012830734252935,4.558055305480957,8.351637458801271,4.0500284194946286,9.305253791809083,4.531284141540527,6.252993965148925
6.115045738220213,8.353442573547365,8.534663200378418,7.77819118499756,7.884564018249512,4.207756614685059,7.912220954895019,8.868158149719239
8.568315696716308,8.921151161193851,4.13028507232666,7.782832908630372,7.902228355407716,7.884306144714356,8.533438301086427,7.895072364807128
5.974823951721191,8.6886137008667,4.252602577209472,6.699407386779785,6.983090782165529,4.0500284194946286,4.0500284194946286,4.0500284194946286
8.915929222106932,8.3461576461792,4.0500284194946286,8.353507041931152,7.884564018249512,6.714128684997559,8.537435340881348,5.444175148010253
5.209771156311034,8.704215049743652,5.808967781066895,8.675333213806152,6.708217430114746,7.891204261779785,8.533438301086427,5.213124656677246
8.536274909973145,8.344416999816897,6.709013175964355,8.688162422180177,5.974823951721191,4.0500284194946286,6.706341743469238,7.89146213531494
6.7117414474487305,8.351701927185061,4.0500284194946286,8.342611885070802,5.227618598937987,5.075687980651854,8.503460502624513,6.26794261932373
6.043030738830566,9.21583614349365,4.370202445983887,7.777804374694825,5.239100074768066,6.706341743469238,4.0500284194946286,7.9255659103393565
6.151820564270018,6.699407386779785,4.0500284194946286,7.805654716491699,6.983147621154786,7.884241676330566,8.51809482574463,6.881348991394043
6.883849906921387,8.702152061462403,7.884241676330566,4.0500284194946286,8.916444969177245,5.075744819641112,5.973516654968263,4.370202445983887
5.975164985656738,9.125451469421389,5.075744819641112,8.327075004577637,7.895072364807128,4.0500284194946286,6.713332939147949,4.30830478668213
7.905645179748535,8.347962760925295,5.319470405578613,6.702760887145996,4.0500284194946286,4.0500284194946286,7.891204261779785,6.015406990051268
7.8883676528930655,7.785798454284668,7.905387306213378,6.866002464294434,4.785865974426269,4.0500284194946286,5.398306083679199,6.718277931213379
4.531284141540527,8.3461576461792,8.533438301086427,8.351701927185061,5.075687980651854,7.884241676330566,7.895072364807128,8.56818675994873
5.9741418838500975,7.789924430847168,4.0500284194946286,7.773777961730957,4.536399650573731,7.89146213531494,7.877472496032715,4.50729808807373
6.247651100158691,5.397680854797363,4.0500284194946286,6.103734779357908,6.714924430847168,5.974823951721191,7.877408027648927,6.749823570251466
4.0500284194946286,6.870833778381347,6.706341743469238,5.962319374084472,6.884702491760254,6.983090782165529,4.0500284194946286,5.574279594421386
8.89097995758057,9.426970100402833,5.717911720275879,7.773209571838379,6.709808921813964,6.706341743469238,4.370202445983887,4.196673011779786
5.808967781066895,8.66314868927002,6.7055459976196286,7.782510566711426,7.888689994812011,4.0500284194946286,8.534792137145995,7.88198528289795
8.549813270568851,8.688162422180177,5.979427909851075,7.805590248107911,6.879700660705566,8.944746589660646,4.0500284194946286,8.219993019104006
7.877601432800294,7.800948524475098,6.879700660705566,5.075176429748534,5.808285713195801,4.0500284194946286,7.884306144714356,5.075744819641112
6.11567096710205,7.7899888992309565,6.000458335876464,7.785476112365723,4.370202445983887,5.498626899719238,5.209827995300292,6.000742530822753
5.498626899719238,9.216094017028809,7.895072364807128,5.9617509841918945,4.308191108703614,6.714924430847168,4.0500284194946286,8.916316032409668
8.915929222106932,6.962969779968262,4.3530370712280275,5.295768547058105,4.370202445983887,4.0500284194946286,7.902228355407716,5.075687980651854
4.093396568298339,6.867537117004395,4.0500284194946286,6.698668479919434,5.808967781066895,6.880553245544434,5.498001670837401,4.0500284194946286
6.709013175964355,6.698668479919434,6.708217430114746,6.967062187194824,7.902228355407716,5.979427909851075,7.884241676330566,4.196673011779786
8.569605064392093,6.699407386779785,7.877408027648927,7.785153770446778,9.012051582336426,5.239043235778809,6.706341743469238,4.78273983001709
5.498001670837401,7.780769920349122,5.498001670837401,8.351637458801271,4.0500284194946286,8.916444969177245,5.319470405578613,4.481663703918457
7.895072364807128,8.662181663513184,6.706341743469238,8.649803733825685,4.507127571105957,7.884241676330566,5.9741418838500975,4.536399650573731
6.713332939147949,9.215707206726073,5.498001670837401,8.36285495758057,6.712537193298339,7.884177207946777,5.498001670837401,5.3193567276000975
7.902228355407716,6.695485496520996,7.895072364807128,8.662052726745607,5.151568031311034,6.706341743469238,8.568315696716308,8.2017484664917
8.517836952209475,8.674752998352051,7.90197048187256,6.699407386779785,5.037662696838378,4.0500284194946286,4.252602577209472,6.87805233001709
8.520673561096192,7.773607444763184,7.884306144714356,4.370145606994629,7.891204261779785,5.9741418838500975,4.0500284194946286,6.5987455368042
