AChBP_random,Cav2.2_random,α4β2_random,α9α10_random,α7_random,α3β4_random,Nav1.2_random,α3β2_random,AChBP_C1,Cav2.2_C1,α4β2_C1,α9α10_C1,α7_C1,α3β4_C1,Nav1.2_C1,α3β2_C1,Nav1.2_C2,α4β2_C2,AChBP_C2,α7_C2,Cav2.2_C2,α3β4_C2,α9α10_C2,α3β2_C2,Nav1.2_C3,α4β2_C3,AChBP_C3,α7_C3,Cav2.2_C3,α3β4_C3,α9α10_C3,α3β2_C3,Nav1.2_C4,α4β2_C4,AChBP_C4,α7_C4,Cav2.2_C4,α3β4_C4,α9α10_C4,α3β2_C4,Nav1.2_C5,α4β2_C5,AChBP_C5,α7_C5,Cav2.2_C5,α3β4_C5,α9α10_C5,α3β2_C5
-0.972,0.424,4.0955,11.21912,1.00526,7.855,8.31182,19.22533,1.11531,5.91146,0.6381,-0.5514,0.71604,0.495,16.382334,2.1503,13.87687,11.6515,11.67933,2.22847,4.24974,3.89505,2.1994,15.454044,7.30299,2.2105,2.89972,4.01703,4.89188,-1.1686,11.81023,8.16317,15.788167,9.7416,-5.4138,-0.5094,-7.4252,2.6071,2.9462,-2.5499,10.44568,-1.1179,-2.8702,2.83364,-6.0496,-2.3446,12.75441,2.7548
3.34593,0.4252,22.245413,13.1538,2.79976,6.70415,6.5164,11.88378,0.3265,2.7096,1.9729,1.7024,1.00209,7.06661,9.16594,2.8855,15.36256,18.54013,1.20437,-2.1698,1.9511,0.8619,10.07115,21.16238,12.87928,-0.0928,-0.8853,17.23377,5.34253,-0.876,0.7353,1.5644,16.206304,2.7314,20.09417,4.15358,2.4862,-2.1187,-2.8941,20.90428,7.03671,-1.7674,12.31258,-1.9331,-12.0468,12.00837,3.4835,-3.3147
3.19048,1.1295,11.7209,12.04694,4.9371,8.40769,9.3124,9.7556,-1.0171,-0.2833,20.01021,1.3585,-0.4739,1.6188,10.83037,-1.3369,12.06578,19.66544,-0.2617,-1.2914,18.21675,14.54805,3.5082,20.74532,9.39735,11.8566,-4.7456,7.913,2.0711,1.5176,3.763,4.4458,13.0719,24.58488,5.13306,10.650415,4.75535,-3.576,-0.0293,1.6633,10.91916,12.70339,-1.5443,12.63728,-0.7867,-0.459,-0.8047,0.8626
6.49594,1.1433,29.91884,5.2953,2.82344,15.36352,12.28903,0.3934,19.01707,2.9535,18.26104,1.4784,-0.702,4.40926,11.25276,0.9642,15.880199,0.0695,1.01392,5.54468,11.1013,9.35045,4.6598,-3.3933,17.550954,18.91999,2.55337,7.4696,7.64873,4.61096,4.0089,-1.8752,10.44445,37.7823,-6.6256,3.89288,-0.8,0.5466,-1.084,-4.0425,13.19229,5.6632,-1.2169,1.13078,6.07439,2.4768,3.2062,0.9865
2.80342,1.1603,13.13052,7.4789,1.88129,3.34703,4.3717,7.12684,-8.0504,3.40867,7.1863,-0.7785,-5.2717,1.0898,11.25928,3.7763,9.4021,14.99747,4.96063,-0.4478,3.35705,8.07407,0.4977,-0.7796,9.42627,11.6248,5.0163,2.33931,5.84757,1.27,1.7129,0.1184,13.20098,16.48239,-1.0602,0.2276,6.18034,14.24771,-2.0687,2.1047,21.65597,9.9405,-1.0252,2.06858,0.5295,12.075503,1.1394,1.8216
3.09462,1.3374,31.20435,2.5092,4.40263,6.21019,9.50361,18.28349,-0.1457,2.9096,5.632,4.8737,3.89581,2.3265,6.79115,-3.8849,8.19076,20.19856,5.39425,5.14962,-0.4365,3.32159,0.0168,4.1568,13.8548,27.80769,21.6119,4.57002,-4.0411,-0.0085,-0.008,1.0582,2.8878,18.95123,-6.2936,11.44435,13.783989,7.17794,9.80169,3.2366,5.8472,-2.0708,6.73799,-1.1224,-6.797,0.0636,1.6914,2.49
7.75303,1.3968,13.0314,9.8737,2.14146,14.41187,10.24894,13.73931,14.12915,0.6985,17.29802,7.4399,12.01258,1.8791,11.50963,16.93521,18.06114,3.6886,16.94656,4.6501,11.9371,1.8453,5.4142,12.11547,12.97898,-0.9194,-1.2368,12.00903,9.07593,5.33995,1.005,23.0704,11.93594,11.7732,2.65458,-5.7362,7.03583,6.8323,7.6352,-0.7475,8.94459,-1.1201,0.8378,5.62726,-7.6788,-2.3772,0.9468,0.051
15.32849,1.4065,9.9608,10.77205,4.14554,3.08945,7.09578,17.56218,9.759921,7.02739,10.5868,18.223645,2.34005,4.01225,10.22118,-2.8277,18.68113,23.72623,-5.0177,4.96598,-6.6326,10.3937,-1.6085,9.04828,11.35649,36.2989,0.0508,3.67178,8.49097,10.10103,-1.5537,1.8201,14.56029,9.6141,0.037,13.16525,-10.889,2.8638,3.2987,12.08799,15.12559,5.5191,1.96663,-1.5933,-4.8669,7.15427,3.7286,-2.2114
5.20991,1.4192,8.7738,10.94549,2.48176,3.64699,12.88938,5.26111,1.53614,2.0604,0.1205,0.1554,0.4089,-3.3222,12.67343,4.1492,14.87053,23.60695,-0.7317,4.85376,2.9869,0.7425,3.8493,5.22992,12.70559,13.88104,4.04768,-0.279,1.1221,6.30264,3.9331,4.6214,17.148067,11.2852,-5.7144,4.70128,0.7129,-2.833,5.0998,1.376,16.6051422,-1.7082,-3.0911,5.63457,1.2568,2.1216,-2.8054,-5.6325
3.06261,1.4573,15.03448,1.8231,2.66599,4.6447,7.06888,11.16496,-8.4106,1.3262,5.2096,4.9854,2.05896,2.1467,6.98935,7.36511,24.29856,10.6508,-1.4951,2.1167,17.54506,0.1376,6.1529,-4.8662,23.58512,6.0044,-1.378,1.15223,2.9521,-3.9925,7.7097,-2.2845,14.44029,0.2055,1.45699,1.50799,0.2359,3.98299,3.1168,-0.6995,12.33986,10.7912,-2.4922,-3.7055,-4.62,-2.6959,1.8729,3.0571
4.54717,1.5168,27.57161,4.3575,8.69326,11.20154,10.19955,8.66131,8.76339,5.92155,9.353,3.0608,0.93102,2.1261,14.2142,-1.7964,16.942306,15.78022,-0.3223,1.36575,6.4094,24.1132,3.4218,4.93386,19.59253,3.2617,-1.1068,3.63233,3.82326,12.422212,-1.7607,-1.9385,9.49087,12.0839,1.87656,10.221061,11.91036,0.8935,-0.0579,-2.3023,13.44282,4.4606,10.847423,-2.5473,-13.4626,3.51666,-5.6935,6.21194
6.5308,1.748,15.48032,5.519,4.06798,8.86429,8.4612,0.4738,-0.8621,1.4008,10.1583,6.4289,4.13481,0.8493,13.75733,-0.0122,11.64545,1.2665,9.926339,3.06098,15.74333,1.9455,-0.9216,5.44071,15.15874,16.63754,2.59371,8.89564,13.2310202,5.23201,-0.1717,-0.1368,12.3864,26.16421,1.31067,4.7231,-6.5897,2.2407,3.7888,-2.3284,9.00584,1.1951,1.68187,-0.9496,-3.1243,-7.5935,-5.2101,2.3185
15.23487,1.7839,13.99695,11.59112,3.96024,0.6785,9.53051,22.69514,0.5243,9.78876,6.1812,3.3023,-1.1434,0.7706,1.8851,2.4423,10.80613,22.910852,-1.8909,12.93375,6.24301,1.4965,8.43448,-1.1446,8.14999,25.45592,-0.3676,-2.7105,-3.2351,11.93367,3.5271,0.3129,11.93638,6.2248,0.1706,1.76475,7.58934,20.0722,11.63682,3.0042,18.34122,22.147807,-2.0868,-1.6858,-1.8592,9.96151,-5.388,1.166
0.89365,1.8143,13.0259,9.96425,3.11265,2.6742,9.38121,8.43294,-2.8029,3.24492,2.1646,-2.8447,-1.5609,1.9052,10.26058,5.8964,10.60747,6.41,13.50428,-0.5394,4.29479,6.24446,7.3616,0.0329,11.66255,26.0647,-6.0068,1.51639,10.17339,-0.5952,-0.5195,9.95738,15.771727,8.75,-1.9578,19.30172,13.1378451,-1.1172,1.2374,0.7877,14.37748,-2.5223,-0.4088,2.59216,-4.8126,2.8647,-2.0969,1.2568
4.30255,1.8279,16.00973,10.30005,8.80159,5.34792,11.02523,10.0334,1.86876,13.816337,-0.0783,8.27419,1.8389,-0.9625,9.69521,17.69772,14.5981,29.60683,-0.3929,-3.4346,6.03873,0.6267,3.179,9.26304,16.351573,27.00635,14.48529,20.6734,3.1944,-4.5265,-1.9586,3.652,12.99578,1.4711,4.75946,3.28208,0.9143,10.40619,3.3426,-3.6788,14.76937,4.4551,-6.1848,-1.3869,-11.3466,2.2006,2.2472,10.9473
19.49458,1.9435,16.29281,8.4376,3.30616,6.42208,5.9539,33.8184,-3.496,2.4771,3.6585,12.17899,2.61083,3.08025,12.5448,3.8545,6.82242,22.6299962,1.66575,1.44905,12.03109,3.29793,3.172,4.6492,11.36339,-3.4069,-0.9132,18.83003,4.14421,1.1221,10.30801,14.28346,17.86892,9.1084,-0.1712,1.47298,15.55035,-2.2076,0.8304,-2.5214,17.022663,9.8612,14.40653,1.46863,-0.3855,-0.9584,-2.5994,-0.5145
