AChBP,Ca22,α3β4,Na12,α3β2,α7,α9α10,α4β2
6.677126502990723,11.348708152770996,5.239100074768066,7.794437217712403,6.677126502990723,9.02262439727783,6.677126502990723,8.568315696716308
7.023844337463378,9.204683113098145,6.706341743469238,8.70228099822998,6.97445125579834,8.55116710662842,5.209827995300292,4.0500284194946286
7.905387306213378,10.315602302551266,6.281356620788575,5.977893257141113,8.568315696716308,5.848811912536621,4.0500284194946286,7.895330238342285
6.709013175964355,9.166388893127444,5.151624870300291,8.689000511169432,5.075687980651854,11.999967765808105,4.196673011779786,9.987780570983887
5.965843391418457,9.683812141418457,9.3817777633667,4.0500284194946286,5.965843391418457,4.130341911315917,6.751869773864747,8.54968433380127
7.939297676086427,8.915993690490723,6.916304969787597,5.937310218811036,6.000458335876464,6.054966926574706,7.884628486633301,6.042405509948731
7.884628486633301,7.780640983581543,8.02091464996338,5.964308738708497,8.576438713073731,8.755016136169434,8.976078224182132,7.877472496032715
6.706341743469238,9.30048313140869,5.498626899719238,8.353442573547365,6.043030738830566,7.895136833190918,7.895136833190918,8.551038169860842
7.902034950256349,10.453500175476073,5.959022712707521,5.295768547058105,6.706341743469238,8.536210441589354,8.550651359558106,4.0500284194946286
4.67906551361084,9.69554538726807,9.126225090026857,8.361049842834475,8.569605064392093,7.884306144714356,6.717482185363769,7.89152660369873
4.13028507232666,8.916316032409668,4.0500284194946286,8.342611885070802,6.9858190536499025,7.90197048187256,6.052920722961425,7.905580711364746
7.90197048187256,9.53166675567627,8.85971279144287,5.075233268737792,4.6265462875366214,8.97536907196045,7.925243568420411,7.715574836730957
9.069557380676269,11.052153587341309,5.075687980651854,6.7012830734252935,5.239100074768066,9.02262439727783,4.0500284194946286,7.79469509124756
4.0500284194946286,9.1012113571167,6.741752433776856,7.789859962463378,4.207756614685059,8.56689739227295,8.97536907196045,5.274112892150878
6.7055459976196286,9.848077583312985,5.076199531555174,4.3530370712280275,9.011664772033694,9.6918062210083,4.207756614685059,8.533438301086427
4.225945091247559,9.560870933532716,6.706341743469238,5.151340675354002,4.0500284194946286,8.567026329040527,9.032488059997558,8.550973701477051
5.209771156311034,10.172224617004392,5.075687980651854,8.351766395568852,6.7055459976196286,6.709808921813964,6.709013175964355,7.902034950256349
8.517772483825684,8.915993690490723,8.067976570129392,7.879922294616699,7.884177207946777,9.027846336364746,6.7055459976196286,5.082508659362792
5.319470405578613,10.149080467224117,8.43015995025635,6.6935529708862305,5.319470405578613,10.348416709899901,4.558055305480957,7.902034950256349
6.884702491760254,9.30377101898193,5.075744819641112,7.805590248107911,5.209827995300292,6.704750251770019,6.708217430114746,4.535433387756348
5.808967781066895,9.695803260803224,8.067847633361815,5.986589622497559,5.319470405578613,5.979427909851075,6.708217430114746,5.398306083679199
7.895136833190918,8.22392559051514,8.06417293548584,6.690824699401856,7.891268730163573,5.498626899719238,5.988181114196778,9.011664772033694
7.794437217712403,8.756821250915529,6.709808921813964,8.344416999816897,5.239100074768066,8.902713203430178,5.933502006530762,7.884177207946777
7.891204261779785,8.689903068542481,6.898343849182129,6.029332542419433,5.808967781066895,6.721347236633301,8.97536907196045,7.895136833190918
4.0500284194946286,9.897202491760254,8.903486824035646,8.084222602844239,8.550844764709474,7.891268730163573,4.0500284194946286,8.534792137145995
4.0500284194946286,10.429646873474116,5.209316444396971,7.782510566711426,6.880553245544434,9.756532478332517,7.89146213531494,6.690085792541503
7.891268730163573,9.380810737609863,6.706341743469238,8.716979789733887,4.0500284194946286,8.956479835510255,7.884306144714356,7.870316505432128
7.90197048187256,9.487892723083494,6.706341743469238,4.0500284194946286,4.0500284194946286,10.106789207458494,4.0500284194946286,5.984998130798339
8.54968433380127,9.501044273376465,6.7055459976196286,8.702667808532716,5.974823951721191,8.045477104187015,7.884241676330566,5.98812427520752
8.077066612243652,8.337003135681151,5.945210838317871,8.36279048919678,6.709808921813964,6.709808921813964,5.379776573181153,4.900396537780761
6.7442533493042,8.821676445007324,4.0500284194946286,6.103734779357908,4.0500284194946286,8.10820484161377,6.709808921813964,7.888947868347167
7.90197048187256,8.53446979522705,4.0500284194946286,6.6935529708862305,4.0500284194946286,4.0500284194946286,7.90197048187256,4.513323020935059
6.708217430114746,9.96121959686279,6.706341743469238,4.0500284194946286,7.891268730163573,9.027846336364746,7.884499549865723,9.885469245910645
8.956544303894042,9.695480918884279,6.722199821472168,6.694291877746582,5.379776573181153,10.090672111511228,7.925243568420411,8.956479835510255
7.891204261779785,9.699606895446777,6.880553245544434,7.777868843078614,7.912220954895019,9.02417163848877,4.308247947692872,5.397680854797363
4.207756614685059,9.18224811553955,7.898682594299316,6.6935529708862305,7.90197048187256,8.903228950500488,4.133752250671387,8.552263069152833
7.878052711486816,10.82986660003662,7.884241676330566,5.796747398376465,6.714128684997559,8.086478996276856,7.871412467956543,8.030649375915527
5.983577156066894,9.838213920593262,7.912220954895019,5.797315788269043,10.835024070739745,8.081643867492676,8.216511726379395,8.56818675994873
6.752608680725097,9.133767890930176,6.880553245544434,5.238588523864746,7.891204261779785,8.58978366851807,4.0500284194946286,6.754143333435059
7.8887544631957995,6.700544166564941,6.731635093688964,7.805590248107911,5.319470405578613,10.835024070739745,7.895394706726074,8.353507041931152
8.549813270568851,8.344481468200684,6.72475757598877,8.35524768829346,4.507752799987793,4.781205177307128,8.517965888977052,6.402025794982911
5.809593009948731,8.89065761566162,7.90197048187256,4.3702592849731445,6.115045738220213,9.697028160095215,6.042405509948731,8.903228950500488
5.151624870300291,8.967052650451663,9.025654411315916,6.698668479919434,6.752608680725097,11.69902935028076,6.884702491760254,8.944488716125488
5.075744819641112,8.675462150573733,4.196673011779786,6.694291877746582,7.8887544631957995,8.567026329040527,4.225945091247559,8.56818675994873
7.891204261779785,9.795793724060058,5.835682106018066,6.690824699401856,7.884241676330566,9.02346248626709,4.370202445983887,8.944488716125488
7.777868843078614,8.327075004577637,8.032905769348144,8.688742637634277,5.151624870300291,8.588558769226076,4.0500284194946286,6.706341743469238
8.975691413879396,9.698446464538574,4.196729850769043,5.318902015686036,5.979427909851075,5.988010597229004,8.975691413879396,8.976142692565919
4.0500284194946286,9.437800788879393,5.15190906524658,7.7897310256958,4.558055305480957,5.321687126159667,7.902292823791504,8.94371509552002
7.7897954940795895,9.956448936462401,8.976078224182132,8.333844184875488,6.880553245544434,8.68648624420166,4.196729850769043,8.978850364685059
4.0500284194946286,9.385516929626462,8.067847633361815,7.782639503479004,7.891204261779785,11.00038547515869,6.718277931213379,7.90197048187256
7.884177207946777,8.938041877746585,7.884241676330566,5.318902015686036,7.891268730163573,6.880553245544434,7.877665901184082,9.476288414001466
5.700405311584473,8.716979789733887,7.915186500549316,7.794437217712403,6.043030738830566,5.9472570419311515,6.983090782165529,6.718277931213379
6.884702491760254,10.344870948791502,4.0500284194946286,5.075176429748534,4.651043891906738,9.029393577575682,7.932206153869629,9.02346248626709
