AChBP,Ca22,α3β4,Na12,α3β2,α7,α9α10,α4β2
-0.012500000000000011,-1.896,0.36000000000000004,0.6000000000000001,-0.012500000000000011,-0.7583333333333334,-0.012500000000000011,-0.473684210526316
-0.38749999999999996,-0.4960000000000001,0.23333333333333328,0.05624999999999997,-0.46875,-0.45,0.25,-0.5052631578947367
-0.6875000000000001,-1.1799999999999997,-0.4,-0.11250000000000004,-0.05625000000000008,-0.033333333333333326,-0.6437500000000002,0.07368421052631585
-0.36875,-0.9920000000000002,-0.08000000000000002,-0.15625,-0.12500000000000006,-1.3499999999999999,-0.13125000000000003,-1.7421052631578948
-0.1125000000000001,-1.244,-1.5266666666666668,0.9625000000000001,-0.1125000000000001,-0.0666666666666668,-0.5874999999999999,-0.3105263157894737
-0.5875000000000001,-0.36,0.2533333333333332,-0.20000000000000007,-0.21250000000000008,-0.4333333333333334,-0.83125,-0.7105263157894737
-0.83125,0.07200000000000002,0.05333333333333338,0.2749999999999999,-0.4125000000000001,-1.1083333333333332,-0.5437500000000002,-0.3631578947368421
0.9437500000000003,-1.0120000000000002,1.3666666666666667,-0.41875000000000007,-0.6375000000000001,0.28333333333333327,-0.7250000000000001,-0.9894736842105262
-0.42500000000000004,-0.6719999999999999,-0.6799999999999999,0.13749999999999984,0.6250000000000001,-0.4749999999999999,-1.23125,0.3105263157894736
-1.86875,-1.0519999999999998,0.15333333333333332,-0.08124999999999999,-0.16875,0.6833333333333332,-0.1375,-0.5894736842105263
0.08124999999999999,0.084,-0.913333333333333,0.14375000000000002,0.09999999999999992,0.5,-1.73125,-1.0157894736842106
0.4124999999999998,-0.6000000000000001,-1.1466666666666667,0.49375,-0.07500000000000001,-0.7333333333333334,0.7499999999999999,0.02105263157894734
-0.39374999999999993,-1.3359999999999999,0.033333333333333215,0.21249999999999997,0.4749999999999998,-0.15833333333333344,-0.44999999999999996,-0.6105263157894738
0.26874999999999993,-0.736,-7.401486830834377e-17,-0.19999999999999996,0.55,-0.8250000000000002,-0.6499999999999999,-0.7157894736842106
-0.4750000000000001,-0.684,-0.3933333333333335,0.9687500000000002,-0.44375,-1.9583333333333333,0.6375000000000001,-0.731578947368421
-0.6437499999999998,-0.632,-0.02666666666666669,0.25000000000000017,0.26874999999999993,-0.09166666666666663,-0.7374999999999998,-1.0789473684210524
-1.1687500000000002,-0.5840000000000001,0.11999999999999998,0.05625000000000005,-0.4750000000000001,-0.5083333333333334,-0.08125000000000004,-0.5894736842105265
-0.9749999999999999,-0.20000000000000004,1.0866666666666667,-0.05625000000000008,-0.03749999999999998,-0.9333333333333332,-0.4750000000000001,0.5736842105263158
-0.13124999999999998,-0.988,0.32,0.22499999999999992,-0.27500000000000013,-1.4833333333333334,-0.50625,-0.6105263157894737
-0.08125000000000004,-0.64,0.3466666666666666,0.5375000000000001,-0.8500000000000001,0.5583333333333332,-0.7125000000000001,-0.06842105263157898
-0.41875000000000007,-0.376,0.12666666666666657,-0.1875000000000001,-0.10625000000000007,0.07499999999999991,-0.03125,-0.494736842105263
-0.03749999999999998,0.06800000000000002,-0.47333333333333344,1.54375,0.09999999999999998,0.9833333333333335,-0.25,0.10526315789473684
1.725,-0.996,0.02666666666666663,0.3687499999999999,0.26874999999999993,-0.75,-0.8875000000000002,0.27368421052631575
-0.40625000000000006,-0.42,0.72,0.1125,-0.6625000000000001,-0.3083333333333334,-1.1125,-0.33684210526315783
-0.275,-0.9640000000000001,0.006666666666666628,-0.4687500000000001,-0.9125000000000001,-0.375,-1.2125000000000001,0.2473684210526315
0.73125,-1.936,0.22666666666666668,1.0499999999999998,0.2875,0.3416666666666666,-1.0,0.7526315789473683
0.025000000000000022,-0.672,0.8933333333333332,0.4125,0.4312500000000001,1.0499999999999998,-0.4375000000000001,-0.015789473684210506
1.1687500000000002,-0.38000000000000006,1.2066666666666666,0.33125000000000004,-0.9125000000000001,-0.8999999999999999,0.73125,-0.7473684210526316
-0.031250000000000056,-0.7839999999999999,0.5399999999999999,-0.75,-0.68125,-1.6916666666666667,-0.16875000000000007,-0.3157894736842105
0.0625,-1.4320000000000002,-0.2,-0.012499999999999956,-0.22500000000000014,-0.15833333333333335,-0.55,-1.1736842105263157
0.39999999999999997,0.092,-0.8466666666666666,0.2875,-0.2875,-0.5166666666666666,0.53125,-0.8315789473684209
0.08124999999999993,-0.7040000000000002,1.5133333333333334,-0.34375,0.73125,0.975,0.8374999999999999,-1.2
-0.4750000000000001,-0.2719999999999999,0.1400000000000001,0.34375,0.025000000000000022,-0.8500000000000001,-0.23750000000000004,-0.32105263157894737
0.18750000000000003,-1.136,-0.3600000000000001,-0.16874999999999996,-0.7187499999999998,-0.9416666666666668,0.23749999999999993,0.14736842105263148
-0.1374999999999999,-1.2879999999999998,-0.5133333333333333,0.7625000000000001,0.8124999999999999,-0.6833333333333332,-0.3562500000000001,-0.09473684210526324
0.07499999999999994,-0.092,0.43333333333333335,0.8375,0.08124999999999993,-0.7083333333333334,-0.38750000000000007,-0.21578947368421056
-0.18124999999999997,-0.22399999999999998,0.5333333333333333,0.15625,-0.5625000000000001,-0.34166666666666673,-0.11875000000000002,-0.27368421052631575
-0.10625000000000001,-0.552,0.45333333333333325,0.38749999999999984,-0.1312500000000001,0.7499999999999999,-0.65,-0.9052631578947368
0.16874999999999996,-0.8039999999999999,0.5733333333333331,0.20625000000000007,-0.1374999999999999,-0.4666666666666668,-0.3375,-0.5263157894736843
-0.4937499999999999,0.12800000000000003,0.11333333333333327,-0.2437499999999999,-0.38750000000000007,0.16666666666666663,-0.53125,-0.06842105263157901
0.21875,-0.1,-0.47333333333333344,-0.7375,0.75,-1.0666666666666664,-0.23124999999999996,0.09473684210526312
