AChBP,Ca22,a3b4,Na12,a3b2,a7,a9a10,a4b2,Train
78.55753846153854,56.13525252525255,69.31775999999998,56.18277310924366,83.48777777777775,77.20801980198021,61.3926890756302,76.3891472868217,70.82690265
66.18855855855853,45.11152631578951,76.04008264462811,54.66390243902442,66.6802564102564,70.22737704918023,76.76050420168073,55.57455128205124,75.65597122
76.94146551724143,48.32471590909088,66.04959677419363,53.94385245901642,76.94146551724143,73.67077669902906,74.52111111111107,77.517880794702,72.47596639
78.14585365853664,64.21477832512313,82.63824561403504,73.6851304347825,78.14585365853664,64.35902173913044,76.27758333333337,66.47234042553188,74.44862903
60.65290909090914,50.80051162790707,73.49596491228074,57.373839999999944,62.229734513274295,63.77516853932588,54.286086956521764,62.66673758865252,77.47955128
76.35473214285719,55.487219512195125,56.98764150943403,55.38561983471069,74.85252100840327,75.00030612244896,70.93383999999993,79.99115646258515,85.75420635
79.94179487179493,65.85033018867921,70.1493859649122,52.49656000000006,64.30606299212594,67.92172839506173,68.00323308270681,68.77137724550896,69.18141593
65.88605263157896,53.99005586592175,62.20017857142849,60.90858407079652,68.92500000000004,84.18112149532703,67.76555555555557,66.51616438356162,65.48688742
68.92500000000004,48.13468292682917,65.13557142857137,61.73154471544717,61.39023437500002,58.03546296296303,59.861249999999906,65.27978571428575,59.19666667
63.52897637795276,68.8651776649746,62.201935483871004,65.09495798319315,71.07663793103451,68.65147368421044,67.84525,71.24555555555557,65.39690678
75.82975609756092,47.03737113402056,62.45112781954887,59.098110236220464,62.267017543859644,68.86568627450981,59.69425196850397,84.99479452054803,75.725
62.267017543859644,53.37374384236456,70.20581967213118,53.11756521739137,66.51000000000003,81.42112244897957,69.76793388429755,75.93153846153857,61.17283898
56.61460317460308,50.21432291666665,85.90418032786896,57.37844262295082,57.51755905511816,73.08038095238098,73.95504132231412,66.93257352941178,68.81503067
66.15781954887225,62.49989690721645,65.64170731707334,56.83915966386554,66.55361538461537,85.25564102564101,70.10311999999993,72.76538461538476,74.50778571
76.72645161290318,62.914517543859645,82.87743362831854,55.40762295081964,72.36507812499994,57.82244444444448,65.93959677419362,59.15626760563383,69.69909091
70.0613793103448,64.48040723981902,85.77300813008135,57.824495412843994,69.89594594594595,66.55966292134829,63.38304687500002,81.4348571428571,84.53713043
64.31478991596644,65.03534313725486,66.20765624999997,61.866147540983576,59.05201754385961,62.18156249999996,54.95201492537312,53.8365789473684,80.68097345
69.17112000000004,51.651079812206596,73.40926829268292,61.28654545454543,64.31478991596644,76.05212962962972,62.192222222222206,75.03096153846155,71.12215517
64.25097560975601,83.37064676616919,85.71311475409837,51.97891666666669,75.81298245614038,63.59790476190482,59.023277310924364,55.17086330935258,80.73910448
72.98200000000003,62.141840796019835,61.278425925925895,59.253076923076904,73.9802479338843,57.59352941176477,83.12637931034473,58.95192307692309,69.78461988
63.786929133858195,61.57619565217386,61.55153846153845,57.36952755905516,64.25097560975601,72.39563829787235,72.27643478260869,74.1045070422535,71.36561404
64.32016393442622,45.07131313131316,78.69223999999994,60.410263157894676,81.9603571428571,67.4732075471698,72.88771653543311,52.941832061068645,59.82096
62.93381818181819,52.02836842105256,71.67571428571429,52.60426086956532,65.29779527559053,67.25237113402068,74.33496240601505,55.84452702702701,62.19452632
69.59669811320751,50.947542857142864,55.79618644067791,53.056525423728765,68.01889908256872,57.5193181818181,63.65341269841277,70.7765384615385,72.15375758
61.32198275862077,57.610366492146646,71.53699999999998,52.56063063063063,66.12701754385962,82.93214953271043,63.74572580645153,62.56140740740745,70.75090164
69.22300751879702,51.03061855670105,73.59737226277358,64.65620689655184,64.87512820512818,70.51623853211011,73.41043859649129,68.54843749999995,80.99705036
59.99707964601764,52.15266009852215,59.36399999999992,55.36661157024794,69.59669811320751,61.589902912621355,64.3485245901639,57.81088235294119,67.5009434
76.55803738317758,68.66686868686868,67.20955357142851,72.85949152542373,61.32198275862077,76.70654205607485,65.77487603305784,55.25323308270681,64.574375
63.53592592592589,58.88521126760576,64.62204918032789,53.594999999999914,52.64007575757572,68.13247422680415,69.3782608695652,53.39512195121947,47.53664596
55.093064516129,52.60076923076916,75.13740740740752,59.2457142857143,66.18252173913055,68.51483516483523,64.67064516129037,54.35633986928098,84.54293478
60.67710144927534,63.72445497630332,53.99557894736841,53.53613445378147,67.432905982906,69.83536363636361,73.17008474576268,72.84652777777787,64.78657895
60.87236842105256,58.405636363636404,70.78361344537812,52.497685950413235,63.53592592592589,60.62250000000001,59.26916030534352,57.89111940298513,63.505
64.72000000000003,92.74556603773584,60.71098214285706,53.44289256198346,58.03669724770641,66.58673469387757,67.46271186440686,57.4841025641025,76.85513889
71.2525,66.52170984455952,70.83357723577222,65.31850877192981,55.28462184873946,74.28571428571435,58.73633587786261,68.3487417218543,73.97245283
66.88687500000002,51.49865168539331,69.79422413793102,60.28694214876022,64.72000000000003,66.6329069767442,79.0534328358209,63.16202898550728,74.85542636
83.36756756756755,49.33406593406593,65.3440310077521,54.957211538461486,63.410000000000025,71.96152542372887,71.40619469026542,64.45350364963505,83.77440678
62.084298245614,70.15313901345286,58.556416666666614,56.20983739837403,69.62524590163936,66.32616071428575,67.00813953488368,53.740136054421754,52.431
65.91642857142861,57.316080402010066,64.89186991869914,61.36478991596636,73.61408333333343,59.03863157894736,69.86605042016808,71.370522875817,95.40289855
